Category,Message,Normalization
ham,Thank you for joining the Globe Prepaid Exclusive Device Raffle Promo! You have earned 3 raffle entries to get a chance to win (1) Smartphone Device. Don?t forget to validate your raffle entries at glbe.co/GPExclusiveRaffle. T&Cs apply. Your request to redeem SURF500MB_GP is being processed. Please wait for another message to confirm your promo activation.,thank you for joining the globe prepaid exclusive device raffle promo! you have earned 3 raffle entries to get a chance to win (1) smartphone device. don?t forget to validate your raffle entries at glbe.co/gpexclusiveraffle. t&cs apply. your request to redeem surf500mb_gp is being processed. please wait for another message to confirm your promo activation.
ham,"Scroll lang nang scroll in your social media feed with 1GB data valid for 1 day for only 10 Rewards points! Redeem SURF1GB via the GlobeOne app at glbe.co/glbone now. You have 10.02 points as of Oct. 3, 2023.","scroll lang nang scroll in your social media feed with 1gb data valid for 1 day for only 10 rewards points! redeem surf1gb via the globeone app at glbe.co/glbone now. you have 10.02 points as of oct. 3, 2023."
ham,Your favorite Go50 is still available exclusively on GlobeOne! Continue enjoying 5GB for all sites and unli allnet texts for 3 days when you register via the GlobeOne app at https://glbe.co/Go50 and use GCash for hassle-free payment. No advisories? Text OFF to 2686 for free.,your favorite go50 is still available exclusively on globeone! continue enjoying 5gb for all sites and unli allnet texts for 3 days when you register via the globeone app at https://glbe.co/go50 and use gcash for hassle-free payment. no advisories? text off to 2686 for free.
ham,"LAST 2 DAYS to get a chance to win a Samsung S23 Ultra, iPhone 14 Pro and MORE! Redeem SURF100MB for 2 Rewards points to earn 5 raffle entries. Join the Globe Prepaid Exclusive Raffle now via glbe.co/glbone. Keep redeeming for more chances of winning! Per DTI Fair Trade Permit No. FTEB-172429 Series of 2023","last 2 days to get a chance to win a samsung s23 ultra, iphone 14 pro and more! redeem surf100mb for 2 rewards points to earn 5 raffle entries. join the globe prepaid exclusive raffle now via glbe.co/glbone. keep redeeming for more chances of winning! per dti fair trade permit no. fteb-172429 series of 2023"
ham,Try lang nang try hanggang manalo! Buy load of at least P50 and get a chance to win PHP100K weekly sa region mo! Load to play and win with Lucky Load!,try lang nang try hanggang manalo! buy load of at least p50 and get a chance to win php100k weekly sa region mo! load to play and win with lucky load!
ham,No need pumila pag nag-Bank Transfer with GCash! Save your bank details for safer & easier fund transfers to 60+ banks! Tap Transfer to start!,no need pumila pag nag-bank transfer with gcash! save your bank details for safer & easier fund transfers to 60+ banks! tap transfer to start!
ham,Mag-load at maging lucky! Pwede kang manalo ng PHP 100K and more weekly sa Lucky Load sa GCash. Go to your GCash dashboard and tap Load to start today!,mag-load at maging lucky! pwede kang manalo ng php 100k and more weekly sa lucky load sa gcash. go to your gcash dashboard and tap load to start today!
ham," Wala daw pasok ngayon at may bagyo, Tra swimming"," wala daw pasok ngayon at may bagyo, tra swimming"
ham,dito na po ako mangoville,dito na po ako mangoville
ham,"GLOBE ADVISORY: Mag-register bago mag-April 26 para hindi ma-deactivate ang prepaid SIM mo! Please disregard this message if you have already registered.
Para sa Globe Prepaid, TM, Globe At Home Prepaid WiFi customers, mag-register for free sa new.globe.com.ph/simreg o i-download ang GlobeOne app. Para sa Globe Postpaid and Platinum customers, mag-text lang ng SIMREG to 8080. For company-owned Globe Business accounts, registration steps will be sent to your company's authorized representative.
Together, let's make the online space safe for everyone!","globe advisory: mag-register bago mag-april 26 para hindi ma-deactivate ang prepaid sim mo! please disregard this message if you have already registered.
para sa globe prepaid, tm, globe at home prepaid wifi customers, mag-register for free sa new.globe.com.ph/simreg o i-download ang globeone app. para sa globe postpaid and platinum customers, mag-text lang ng simreg to 8080. for company-owned globe business accounts, registration steps will be sent to your company's authorized representative.
together, let's make the online space safe for everyone!"
ham,Sir andito n Po ko,sir andito n po ko
ham,mam saan po kayo mismo sta fe salamat oo,mam saan po kayo mismo sta fe salamat oo
ham ,dito kami malapit sa munisipyo. asan na kayo,dito kami malapit sa munisipyo. asan na kayo
ham ,nasan na ba kayo?,nasan na ba kayo?
ham ,"good pm po, lazada po ito. ask lang po kung saan kayo banda sa simon st. salamat po","good pm po, lazada po ito. ask lang po kung saan kayo banda sa simon st. salamat po"
spam,"I-click para magpadala ng 600p ngayon, habang may stock pa!?Google play or APP store search for mybitglobal to download apps","i-click para magpadala ng 600p ngayon, habang may stock pa!?google play or app store search for mybitglobal to download apps"
spam,"Sa oras ng kagipitan, kailangan mo ba ng pambansang pautang? Kuhaan mo na ng 300,000PHP ngayon, idagdag ang telegram dito: @nicole1555 (UKPO","sa oras ng kagipitan, kailangan mo ba ng pambansang pautang? kuhaan mo na ng 300,000php ngayon, idagdag ang telegram dito: @nicole1555 (ukpo"
ham ,"Your package PH222746143026D is out for delivery. Please prepare COD payment of 141 PHP, your rider is 09184299680. THANK YOU!","your package ph222746143026d is out for delivery. please prepare cod payment of 141 php, your rider is 09184299680. thank you!"
ham ,Ma pki loadan mo ito Tnt #09106929803 ni ma'am regular load 200 nsa akin n ang byad ma.Ma pki loadan mo ito Tnt #09106929803 ni ma'am regular load 200 nsa akin n ang byad ma.,ma pki loadan mo ito tnt #09106929803 ni ma'am regular load 200 nsa akin n ang byad ma.ma pki loadan mo ito tnt #09106929803 ni ma'am regular load 200 nsa akin n ang byad ma.
ham ,"Kumusta ka? Tara, magkita tayo mamaya.","kumusta ka? tara, magkita tayo mamaya."
ham ,Magandang araw! Paalala: Bayaran ang iyong utang bago ang petsa.,magandang araw! paalala: bayaran ang iyong utang bago ang petsa.
spam,Hindi mo alam ang pinagdadaanan ko. Malulugod ako kung tutulungan mo ako.,hindi mo alam ang pinagdadaanan ko. malulugod ako kung tutulungan mo ako.
ham ,"PSA: Para sa tamang datos tungo sa tamang hakbang at polisiya para sa sektor ng agrikultura, suportahan ang 2022 Census of Agriculture and Fisheries!","psa: para sa tamang datos tungo sa tamang hakbang at polisiya para sa sektor ng agrikultura, suportahan ang 2022 census of agriculture and fisheries!"
ham ,Magkano ba ang kailangan mo? Pahiram lang saglit.,magkano ba ang kailangan mo? pahiram lang saglit.
ham ,Kumain ka na ba?,kumain ka na ba?
ham ,1/2 Babala : Huwag magbibigay ng kahit anong impormasyon via SMS. Do not click suspicious links. Block them.,1/2 babala : huwag magbibigay ng kahit anong impormasyon via sms. do not click suspicious links. block them.
ham ,"BABALA:HUWAG PONG MANIWALA SA TEXT NA NAGLALAMAN NG INYONG PANGALAN NA NAG-AALOK NG TRABAHO, PABUYA O PERA. ITO PO AY ISANG SCAM. I-REPORT SA HTTPS://NTC.GOV.PH","babala:huwag pong maniwala sa text na naglalaman ng inyong pangalan na nag-aalok ng trabaho, pabuya o pera. ito po ay isang scam. i-report sa https://ntc.gov.ph"
spam,"Join & Get Free 888 & 7777, Extra 1.2% Bonu On Gcash","join & get free 888 & 7777, extra 1.2% bonu on gcash"
spam,"LandBank Advisory: 
Your mobile number is currently suspended, if your number still active, verify here: lbpitaccess.com to continue receiving OTP.","landbank advisory: 
your mobile number is currently suspended, if your number still active, verify here: lbpitaccess.com to continue receiving otp."
ham,"ANNOUNCEMENT!!! Para sa lahat ng mga EXISTING COLLEGE SCHOLARS, maaari na pong magsumite ng mga sumusunod: *2 photocopies of the 1st semester class card SY 2022-2023 with certified true copy of the registrar. *Photocopy of Registration Form for 2nd Semester, SY 2022-2023 (If available) * DEADLINE: February 15, 2023 (Wednesday) Kindly submit to Local Youth Development Office on the 3rd Floor Right-wing, Local Youth Development Office, Municipal Bldg. Hindi na po tatanggapin ang mga hindi makakapagsumite ng walang paunang abiso sa itinakdang araw ng deadline","announcement!!! para sa lahat ng mga existing college scholars, maaari na pong magsumite ng mga sumusunod: *2 photocopies of the 1st semester class card sy 2022-2023 with certified true copy of the registrar. *photocopy of registration form for 2nd semester, sy 2022-2023 (if available) * deadline: february 15, 2023 (wednesday) kindly submit to local youth development office on the 3rd floor right-wing, local youth development office, municipal bldg. hindi na po tatanggapin ang mga hindi makakapagsumite ng walang paunang abiso sa itinakdang araw ng deadline"
ham ,<#> Your Tinder code is 469652 dwEzWOx6XSV,<#> your tinder code is 469652 dwezwox6xsv
spam,"Create your account and join SBET 12.12 Christmas raffle draw! For more details, Sign up now sabong4now.(com)","create your account and join sbet 12.12 christmas raffle draw! for more details, sign up now sabong4now.(com)"
ham ,"DITOzen, are you ready for an upgrade? Simply use the DITO APP : http://bit.ly/DITOPostpaidApplication to switch to our Mobile Postpaid FLEXPlan. You can pick from a range of awesome handsets with our Handset Plan or opt for the SIM-Only Plan. Plus, get a data boost that'll keep you connected all day. Tara, make the switch today! 
Stop receiving updates by editing your DITO APP notification settings any time.","ditozen, are you ready for an upgrade? simply use the dito app : http://bit.ly/ditopostpaidapplication to switch to our mobile postpaid flexplan. you can pick from a range of awesome handsets with our handset plan or opt for the sim-only plan. plus, get a data boost that'll keep you connected all day. tara, make the switch today! 
stop receiving updates by editing your dito app notification settings any time."
ham ,"Don't miss your chance to enjoy FREE 2GB of data & 50 mins calls to all networks, valid for 3 days, when you register to GO59 before 10/19/2023. REF#: FGAM4","don't miss your chance to enjoy free 2gb of data & 50 mins calls to all networks, valid for 3 days, when you register to go59 before 10/19/2023. ref#: fgam4"
ham ,"NDRRMC: (7:10PM, 27Aug23) Signal #3 sa Aurora. Malakas na hangin ang inaasahan sa loob ng 18 oras. Lahat ay pinag-iingat.","ndrrmc: (7:10pm, 27aug23) signal #3 sa aurora. malakas na hangin ang inaasahan sa loob ng 18 oras. lahat ay pinag-iingat."
ham ,270205 is your verification code. Use in 10 mins.,270205 is your verification code. use in 10 mins.
ham ,Get an exclusive PHP50 voucher for QR purchases! Claim it in the GCash app now!,get an exclusive php50 voucher for qr purchases! claim it in the gcash app now!
spam,"B D O ALERT:
Your mobile number is currently suspended, if your number still active, verify here: bancoverify.com to continue receiving OTP.","b d o alert:
your mobile number is currently suspended, if your number still active, verify here: bancoverify.com to continue receiving otp."
ham ,DO NOT share this OTP with anyone. Enter 973987 to authorise your PHP46.55 purchase on Codashop.,do not share this otp with anyone. enter 973987 to authorise your php46.55 purchase on codashop.
ham ,"Dear valued customer, we are pleased to inform you that VISA card payments are back in Meralco Online. Enjoy lightning-fast payments with real-time posting. Download the Meralco Mobile App today!#MorePowerToYou","dear valued customer, we are pleased to inform you that visa card payments are back in meralco online. enjoy lightning-fast payments with real-time posting. download the meralco mobile app today!#morepowertoyou"
ham ,"The power trouble in LOS BANOS has been resolved as of 08-Jun-2023 03:40 PM. For concerns, please call us at our 24/7 hotline 16211.","the power trouble in los banos has been resolved as of 08-jun-2023 03:40 pm. for concerns, please call us at our 24/7 hotline 16211."
ham ,There will be a power interruption in portions of LOS BANOS on 20-Jun-2023 around 01:30 PM to 20-Jun-2023 around 02:30 PM due to Upgrade of Facilities. Your service may be affected multiple times during this period. We are conducting this maintenance in order to serve you better. Thanks.,there will be a power interruption in portions of los banos on 20-jun-2023 around 01:30 pm to 20-jun-2023 around 02:30 pm due to upgrade of facilities. your service may be affected multiple times during this period. we are conducting this maintenance in order to serve you better. thanks.
ham ,You have been successfully loaded Go59 for Students P59.00. Trace No.  334614984 10/09/2023 07:25:48.876. More Globe/TM txt promos? INFO to 8080 4 free,you have been successfully loaded go59 for students p59.00. trace no.  334614984 10/09/2023 07:25:48.876. more globe/tm txt promos? info to 8080 4 free
ham ,Your service in LOS BANOS may be affected by a power interruption. Estimated restoration time is 20-Jun-2023 10:45 PM. Thanks for your patience.,your service in los banos may be affected by a power interruption. estimated restoration time is 20-jun-2023 10:45 pm. thanks for your patience.
ham ,465873 is your verification code. Use in 10 mins.,465873 is your verification code. use in 10 mins.
ham ,"Don't miss the clues on Don Valentin's murder! Watch ""Ten Little Mistresses"" exclusively on Prime Video when you activate your 14-day access on us. Just text PVME to 8080 to get started. This offer is for Prime Video Mobile Edition. Terms and conditions apply. Visit glbe.co/AmazonPrimeVideo for more details. No advisories? Text OFF to 2686 for free.","don't miss the clues on don valentin's murder! watch ""ten little mistresses"" exclusively on prime video when you activate your 14-day access on us. just text pvme to 8080 to get started. this offer is for prime video mobile edition. terms and conditions apply. visit glbe.co/amazonprimevideo for more details. no advisories? text off to 2686 for free."
ham ,LAST 3 DAYS TO GET YOUR FREE BIRTHDAY PIZZA this month! Use your Supercard to get a FREE Large Thin Crust Classic Pizza + a birthday discount of up to 20% OFF.,last 3 days to get your free birthday pizza this month! use your supercard to get a free large thin crust classic pizza + a birthday discount of up to 20% off.
ham ,Netflix: Your next payment of ?249/month will be deducted in 1 day from your GCash account.,netflix: your next payment of ?249/month will be deducted in 1 day from your gcash account.
ham ,pakidala nga ng mga gamit ko dito sa office. Naiwanan ko lang sa bahay,pakidala nga ng mga gamit ko dito sa office. naiwanan ko lang sa bahay
